,Number,Name_of_Covered_Entity,Industry_Type,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
940,939,Kmart Corporation,Retail,IL,,16446,01/04/2014,Theft,Other,24/03/2014,,04/01/2014,NA,2014
942,941,"Lewis J. Sims, DPM, PC dba Sims and Associates Podiatry ",Healthcare,NY,,6475,01/10/2014,Theft,Laptop,21/04/2014,,10/01/2014,NA,2014
957,956,Joseph Michael Benson M.D,Healthcare,TX,,7500,01/05/2014,Theft,Desktop Computer,24/03/2014,,05/01/2014,NA,2014
961,960,Banner Health,Healthcare,AZ,,55207,21/02/2014,Other,Other,24/03/2014,,21/02/2014,NA,2014
965,964,City of Hope,Education,CA,"Sutherland Healthcare Solutions, Inc.",5400,02/05/2014,Theft,E-mail,25/03/2014,,05/02/2014,NA,2014
968,967,"University of California, San Francisco",Education,CA,,9861,01/11/2014,Theft,Desktop Computer,31/03/2014,,11/01/2014,NA,2014
970,969,"Todd M. Burton, M.D.",Healthcare,TX,,5000,13/01/2014,Theft,Other,24/03/2014,,13/01/2014,NA,2014
973,972,"McBroom Clinic, PA",Healthcare,TX,TMA Practice Management Group,2260,01/09/2014,Loss,Other Portable Electronic Device,21/04/2014,,09/01/2014,NA,2014
980,979,San Francisco General Hospital & Trauma Center,Healthcare,CA,Sutherland Healthcare Solutions,55900,02/05/2014,Theft,Desktop Computer,30/05/2014,,05/02/2014,NA,2014
981,980,University of Kentucky UK HealthCare,Healthcare,KY,Talyst,1079,02/04/2014,Theft,Laptop,21/04/2014,,04/02/2014,NA,2014
983,982,"Orlando Health, Inc.",Healthcare,FL,,586,28/01/2014,Loss,Other Portable Electronic Device,21/04/2014,,28/01/2014,NA,2014
984,983,NOVA Chiropractic & Rehab Center,Healthcare,VA,,5534,30/01/2014,Loss,Other Portable Electronic Device,21/04/2014,,30/01/2014,NA,2014
986,985,Jewish Hospital,Healthcare,KY,,2992,15/01/2014,Other,E-mail,21/04/2014,,15/01/2014,NA,2014
987,986,Franciscan Medical Group,Healthcare,WA,,8300,15/01/2014,Other,E-mail,21/04/2014,,15/01/2014,NA,2014
988,987,Palomar Health,Healthcare,CA,,5499,21/02/2014,Theft,Other Portable Electronic Device,21/04/2014,,21/02/2014,NA,2014
992,991,"Midwest Orthopaedics at Rush, LLC",Healthcare,IL,,1256,02/10/2014,Hacking/IT Incident,E-mail,21/04/2014,,10/02/2014,NA,2014
993,992,Texas Health and Human Services Commission,Healthcare,TX,"EveryChild, Inc.",2934,02/02/2014,Theft,Laptop,21/04/2014,,02/02/2014,NA,2014
997,996,"State Long Term Care Ombudsman's Office, Michigan Department of Community Health",Healthcare,MI,,2595,30/01/2014,Theft,Other Portable Electronic Device,21/04/2014,,30/01/2014,NA,2014
998,997,County of Los Angeles,Government,CA,"Sutherland Healthcare Solutions, Inc.",338700,02/05/2014,Theft,E-mail,21/04/2014,,05/02/2014,NA,2014
1000,999,"Clinical Reference Laboratory, Inc.",Healthcare,KS,,979,02/06/2014,Loss,Paper,21/04/2014,,06/02/2014,NA,2014
1001,1000,Various Health Plans,Healthcare,CT,Cigna,527,03/05/2014,Loss,Paper,27/06/2014,,05/03/2014,NA,2014
1005,1004,"Healthy Connections, Inc",Healthcare,CA,,793,25/03/2014,Loss,Other Portable Electronic Device,03/06/2014,,25/03/2014,NA,2014
1007,1006,Greenwood Leflore Hospital,Healthcare,MS,,3750,23/02/2014,Theft,Other,09/05/2014,,23/02/2014,NA,2014
1009,1008,Los Robles Hospital and Medical Center,Healthcare,CA,"Courier Express/Atlanta, Courier Express/Charlotte & Courier Express US, Inc.",2523,14/02/2014,Theft,Paper,09/05/2014,,14/02/2014,NA,2014
1010,1009,Shaker Clinic,Healthcare,OH,,617,18/02/2014,Loss,Paper,27/05/2014,,18/02/2014,NA,2014
1011,1010,VGM Homelink,Healthcare,IA,Tri State Adjustments,1400,28/02/2014,Other,Other,27/05/2014,,28/02/2014,NA,2014
1012,1011,Larsen Dental Care LLC,Dental,ID,,6900,03/04/2014,Theft,Other Portable Electronic Device,27/05/2014,,04/03/2014,NA,2014
1013,1012,The Union Labor Life Insurance Company,Insurance,MD,,46771,17/02/2014,Theft,Laptop,27/05/2014,,17/02/2014,NA,2014
1014,1013,Coordinated Health,Healthcare,PA,,733,21/02/2014,Theft,Laptop,29/05/2014,,21/02/2014,NA,2014
1015,1014,CENTURA HEALTH,Healthcare,CO,,12286,02/11/2014,Hacking/IT Incident,E-mail,29/05/2014,,11/02/2014,NA,2014
1017,1016,"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company ",Healthcare,MA,,8830,04/10/2014,Theft,Other,09/05/2014,,10/04/2014,NA,2014
1018,1017,Developmental Disabilities Administration,Social Services,MD,Inclusion Research Institute,2200,03/03/2014,Unauthorized Access/Disclosure,Paper,29/05/2014,,03/03/2014,NA,2014
1019,1018,Willis North America Inc. Medical Expense Benefit Plan,Healthcare,NY,,4830,19/03/2014,Unauthorized Access/Disclosure,E-mail,29/05/2014,,19/03/2014,NA,2014
1020,1019,Sorenson Communications/CaptionCall Group Health Plan,Healthcare,UT,Sorenson Communications,9800,20/02/2014,Hacking/IT Incident,Network Server,27/05/2014,,20/02/2014,NA,2014
1021,1020,Baylor Medical Center at McKinney,Healthcare,TX,,1253,23/01/2014,Hacking/IT Incident,E-mail,09/05/2014,,23/01/2014,NA,2014
1022,1021,Baylor Medical Center at Irving,Healthcare,TX,,2308,23/01/2014,Hacking/IT Incident,E-mail,09/05/2014,,23/01/2014,NA,2014
1023,1022,Baylor Regional Medical Center at Plano,Healthcare,TX,,1981,23/01/2014,Hacking/IT Incident,E-mail,07/05/2014,,23/01/2014,NA,2014
